                        Found 4242 pair / timeframe combinations.                         
┏━━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┓
┃          Pair ┃ Timeframe ┃ Type ┃                From ┃                  To ┃ Candles ┃
│     ADHD/USDC │        1d │ spot │ 2024-07-16 00:00:00 │ 2025-11-21 00:00:00 │     494 │
│     ADHD/USDC │        3d │ spot │ 2024-07-16 00:00:00 │ 2025-06-20 00:00:00 │     114 │
│     ADHD/USDC │        1w │ spot │ 2024-07-11 00:00:00 │ 2024-08-15 00:00:00 │       6 │
│     ADHD/USDC │        1M │ spot │ 1970-01-01 00:00:00 │ 1970-01-01 00:00:00 │       0 │
│     AMZN/USDC │        1m │ spot │ 2026-02-18 12:16:00 │ 2026-02-26 03:01:00 │   10966 │
│     AMZN/USDC │        3m │ spot │ 2026-02-17 09:12:00 │ 2026-02-26 03:21:00 │    4204 │
│     AMZN/USDC │        5m │ spot │ 2026-02-17 09:10:00 │ 2026-02-26 03:15:00 │    2522 │
│     AMZN/USDC │       15m │ spot │ 2026-02-17 09:00:00 │ 2026-02-26 03:00:00 │     841 │
│     AMZN/USDC │       30m │ spot │ 2026-02-17 09:00:00 │ 2026-02-26 02:30:00 │     420 │
│     AMZN/USDC │        1h │ spot │ 2026-02-17 09:00:00 │ 2026-02-26 02:00:00 │     210 │
│     AMZN/USDC │        2h │ spot │ 2026-02-17 08:00:00 │ 2026-02-26 00:00:00 │     105 │
│     AMZN/USDC │        4h │ spot │ 2026-02-17 08:00:00 │ 2026-02-25 20:00:00 │      52 │
│     AMZN/USDC │        8h │ spot │ 2026-02-17 08:00:00 │ 2026-02-25 16:00:00 │      26 │
│     AMZN/USDC │       12h │ spot │ 2026-02-17 00:00:00 │ 2026-02-25 12:00:00 │      18 │
│     AMZN/USDC │        1d │ spot │ 2026-02-17 00:00:00 │ 2026-02-25 00:00:00 │       9 │
│     AMZN/USDC │        3d │ spot │ 2026-02-15 00:00:00 │ 2026-02-21 00:00:00 │       3 │
│     AMZN/USDC │        1w │ spot │ 2026-02-12 00:00:00 │ 2026-02-19 00:00:00 │       2 │
│     AMZN/USDC │        1M │ spot │ 1970-01-01 00:00:00 │ 1970-01-01 00:00:00 │       0 │
│     ANON/USDC │        1m │ spot │ 2025-07-12 18:38:00 │ 2026-02-07 05:22:00 │  179737 │
│     ANON/USDC │        3m │ spot │ 2025-07-06 22:45:00 │ 2026-02-07 02:48:00 │   81835 │
│     ANON/USDC │        5m │ spot │ 2025-07-05 05:10:00 │ 2026-02-07 00:10:00 │   54356 │
│     ANON/USDC │       15m │ spot │ 2025-06-02 00:00:00 │ 2026-02-06 11:15:00 │   23950 │
│     ANON/USDC │       30m │ spot │ 2025-06-02 00:00:00 │ 2026-02-05 16:00:00 │   11937 │
│     ANON/USDC │        1h │ spot │ 2025-06-02 00:00:00 │ 2026-02-04 01:00:00 │    5930 │
│     ANON/USDC │        2h │ spot │ 2025-06-02 00:00:00 │ 2026-01-31 20:00:00 │    2927 │
│     ANON/USDC │        4h │ spot │ 2025-06-02 00:00:00 │ 2026-01-25 08:00:00 │    1425 │
│     ANON/USDC │        8h │ spot │ 2025-06-02 00:00:00 │ 2026-01-12 08:00:00 │     674 │
│     ANON/USDC │       12h │ spot │ 2025-06-02 00:00:00 │ 2025-12-30 12:00:00 │     424 │
│     ANON/USDC │        1d │ spot │ 2025-06-02 00:00:00 │ 2025-11-22 00:00:00 │     174 │
│     ANON/USDC │        3d │ spot │ 2026-02-09 00:00:00 │ 2026-02-21 00:00:00 │       5 │
│     ANON/USDC │        1w │ spot │ 2026-02-12 00:00:00 │ 2026-02-19 00:00:00 │       2 │
│     ANON/USDC │        1M │ spot │ 1970-01-01 00:00:00 │ 1970-01-01 00:00:00 │       0 │
│    ANSEM/USDC │        1m │ spot │ 2025-07-17 12:41:00 │ 2026-02-04 14:31:00 │  194322 │
│    ANSEM/USDC │        3m │ spot │ 2025-07-10 14:03:00 │ 2026-02-04 11:57:00 │   85754 │
│    ANSEM/USDC │        5m │ spot │ 2025-07-05 04:10:00 │ 2026-02-04 09:20:00 │   55101 │
│    ANSEM/USDC │       15m │ spot │ 2025-02-10 13:00:00 │ 2026-02-03 20:30:00 │   34399 │
│    ANSEM/USDC │       30m │ spot │ 2024-12-20 11:00:00 │ 2026-02-03 01:00:00 │   19661 │
